"","X","TimeCriteria","RecordID","Time","x","y","Label1","Label2","Label3","Label4","Planet","dis","rad","deg","postime","scorestate","biscorecounter","curstates","comstates","dis_trav"
"1",13,"1st Quarter",3,32,31,20,"Shot","Score","",NA,"mars",3,0,0,13,2,1,9,9.2,150.528579247836
"2",25,"1st Quarter",5,58,40,22,"Shot","Miss","",NA,"mars",10.295630140987,1.06369782240256,60.9453959009229,7,0,0,5,5,112.844868403598
"3",50,"1st Quarter",8,108,36,19,"Shot","Miss","",NA,"mars",5.3851648071345,1.19028994968253,68.1985905136482,21,0,0,10,10,213.468145433769
"4",62,"1st Quarter",10,137,39,37,"Shot","Score","",NA,"mars",21.540659228538,0.380506377112365,21.8014094863518,6,2,1,11,11.2,85.700284282383
"5",81,"1st Quarter",14,214,35,17,"Shot","Miss","",NA,"mars",4,1.5707963267949,90,6,0,0,9,9,84.1385710197754
"6",83,"1st Quarter",15,217,30,17,"Shot","Score","",NA,"mars",1,-1.5707963267949,-90,2,2,1,9,9.2,1.4142135623731
"7",120,"1st Quarter",19,318,13,29,"Shot","Score","",NA,"mars",21.6333076527839,-0.982793723247329,-56.3099324740202,10,2,1,6,6.2,128.308899227148
"8",145,"1st Quarter",22,388,49,27,"Shot","Miss","",NA,"mars",20.591260281974,1.06369782240256,60.9453959009229,12,0,0,5,5,131.850985493212
"9",155,"1st Quarter",24,413,25,39,"Shot","Miss","",NA,"mars",22.8035085019828,-0.266252049150925,-15.2551187030578,7,0,0,11,11,99.4380065389412
"10",159,"1st Quarter",25,445,27,17,"Shot","Miss","",NA,"mars",4,-1.5707963267949,-90,4,0,0,9,9,32.3150985839643
"11",161,"1st Quarter",26,449,26,39,"Shot","Miss","",NA,"mars",22.561028345357,-0.223476601140633,-12.8042660652868,2,0,0,11,11,17.2626765016321
"12",176,"1st Quarter",28,487,23,36,"Shot","Miss","",NA,"mars",20.6155281280883,-0.39852244566642,-22.8336541779175,9,0,0,11,11,143.274715954226
"13",202,"1st Quarter",30,547,47,23,"Shot","Score","",NA,"mars",17.0880074906351,1.21202565652432,69.4439547804165,22,2,1,3,3.2,192.344492759728
"14",220,"1st Quarter",33,656,37,37,"Shot","Score","",NA,"mars",20.8806130178211,0.291456794477867,16.6992442339936,17,2,1,11,11.2,131.82444195626
"15",237,"1st Quarter",35,724,52,19,"Shot","Miss","",NA,"mars",21.095023109729,1.47584462045214,84.5596679689945,15,0,0,3,3,167.251083978192
"16",256,"1st Quarter",38,806,44,32,"Shot","Miss","",NA,"mars",19.8494332412792,0.714090698612158,40.9143832200251,20,0,0,5,5,163.337879952655
"17",273,"1st Quarter",40,856,33,16,"Shot","Score","",NA,"mars",2.23606797749979,-1.10714871779409,-63.434948822922,13,2,1,10,10.2,172.510428628626
"18",291,"1st Quarter",42,922,29,21,"Shot","Score","",NA,"mars",4.47213595499958,-0.463647609000806,-26.565051177078,14,2,1,10,10.2,150.546079794199
"19",308,"1st Quarter",44,959,30,21,"Shot","Miss","",NA,"mars",4.12310562561766,-0.244978663126864,-14.0362434679265,16,0,0,10,10,164.37299659601
"20",310,"1st Quarter",45,985,35,20,"Shot","Miss","",NA,"mars",5,0.927295218001612,53.130102354156,3,0,0,10,10,17.8044938147649
"21",320,"1st Quarter",46,997,36,18,"Shot","Miss","",NA,"mars",5.09901951359278,1.37340076694502,78.6900675259798,9,0,0,10,10,80.0296399073782
"22",339,"2nd Quarter",48,22,19,35,"Shot","Miss","",NA,"mars",21.6333076527839,-0.588002603547568,-33.6900675259798,18,0,0,6,6,161.147125891446
"23",391,"2nd Quarter",55,202,33,19,"Shot","Miss","",NA,"mars",2.82842712474619,0.785398163397448,45,14,0,0,9,9,194.508185709241
"24",404,"2nd Quarter",57,233,32,39,"Shot","Score","",NA,"mars",22.0227155455452,0.045423279421577,2.60256220249981,15,2,1,11,11.2,163.124272451624
"25",417,"2nd Quarter",59,286,52,16,"Shot","Miss","",NA,"mars",21.0237960416286,-1.52321322351791,-87.2736890060937,13,0,0,10,10,124.918990334431
"26",425,"2nd Quarter",61,304,28,29,"Shot","Miss","",NA,"mars",12.369316876853,-0.244978663126864,-14.0362434679265,4,0,0,10,10,67.9763319433171
"27",438,"2nd Quarter",63,329,36,17,"Shot","Miss","",NA,"mars",5,1.5707963267949,90,12,0,0,10,10,96.3090042996058
"28",447,"2nd Quarter",65,352,18,27,"Shot","Miss","",NA,"mars",16.4012194668567,-0.91510070055336,-52.4314079711725,6,0,0,6,6,86.3313639309239
"29",457,"2nd Quarter",67,522,33,17,"Shot","Score","",NA,"mars",2,1.5707963267949,90,7,2,1,9,9.2,104.766159844583
"30",480,"2nd Quarter",71,576,34,34,"Shot","Miss","",NA,"mars",17.2626765016321,0.17467219900824,10.0079798014413,16,0,0,11,11,141.477569380416
"31",511,"2nd Quarter",76,682,24,25,"Shot","Miss","",NA,"mars",10.6301458127346,-0.718829999621625,-41.1859251657096,10,0,0,10,10,97.4008344372437
"32",577,"2nd Quarter",86,928,34,17,"Shot","Miss","",NA,"mars",3,1.5707963267949,90,5,0,0,9,9,90.2709721470295
"33",600,"2nd Quarter",88,962,34,26,"Shot","Miss","",NA,"mars",9.48683298050514,0.321750554396642,18.434948822922,16,0,0,10,10,188.540183422433
"34",608,"2nd Quarter",90,980,16,33,"Shot","Score","",NA,"mars",21.9317121994613,-0.753151280962194,-43.1523897340054,4,2,1,6,6.2,77.8372831770208
"35",677,"3rd Quarter",101,163,10,18,"Shot","Miss","",NA,"mars",21.0237960416286,-1.52321322351791,-87.2736890060937,16,0,0,4,4,178.621596649659
"36",701,"3rd Quarter",103,198,34,26,"Shot","Score","",NA,"mars",9.48683298050514,0.321750554396642,18.434948822922,13,2,1,10,10.2,187.52781211429
"37",820,"3rd Quarter",119,731,25,33,"Shot","Miss","",NA,"mars",17.0880074906351,-0.358770670270572,-20.5560452195835,21,0,0,11,11,249.100135867363
"38",835,"3rd Quarter",122,786,35,17,"Shot","Score","",NA,"mars",4,1.5707963267949,90,4,2,1,9,9.2,72.0238207529228
"39",847,"3rd Quarter",125,926,33,21,"Shot","Score","",NA,"mars",4.47213595499958,0.463647609000806,26.565051177078,9,2,1,10,10.2,96.7574410155212
"40",882,"3rd Quarter",131,1074,32,19,"Shot","Score","",NA,"mars",2.23606797749979,0.463647609000806,26.565051177078,5,2,1,9,9.2,121.580263277805
"41",914,"3rd Quarter",135,1213,52,20,"Shot","Score","",NA,"mars",21.2132034355964,1.42889927219073,81.869897645844,15,2,1,3,3.2,180.020821624941
"42",935,"4th Quarter",139,16,50,30,"Shot","Miss","",NA,"mars",23.0217288664427,0.970746113393143,55.6196552761551,13,0,0,5,5,84.196406121889
"43",937,"4th Quarter",141,25,28,18,"Shot","Score","",NA,"mars",3.16227766016838,-1.24904577239825,-71.565051177078,1,2,1,9,9.2,11.4017542509914
"44",963,"4th Quarter",144,85,10,16,"Shot","Miss","",NA,"mars",21.0237960416286,1.52321322351791,87.2736890060937,19,0,0,10,10,203.760580400815
"45",973,"4th Quarter",148,135,38,37,"Shot","Miss","",NA,"mars",21.1896201004171,0.336674819386727,19.2900462191887,6,0,0,11,11,94.1334185863399
"46",984,"4th Quarter",151,161,32,29,"Shot","Score","",NA,"mars",12.0415945787923,0.0831412318884412,4.76364169072618,7,2,1,10,10.2,109.802641730112
"47",1004,"4th Quarter",154,224,34,17,"Shot","Miss","",NA,"mars",3,1.5707963267949,90,18,0,0,9,9,202.219546020654
"48",1017,"4th Quarter",156,298,39,36,"Shot","Miss","",NA,"mars",20.6155281280883,0.39852244566642,22.8336541779175,14,0,0,11,11,195.142625141666
"49",1030,"4th Quarter",158,343,35,19,"Shot","Score","",NA,"mars",4.47213595499958,1.10714871779409,63.434948822922,14,2,1,10,10.2,124.235243609872
